text,label
The delivery was quick and the product works perfectly,1
"Excellent quality for the price, very happy",1
Arrived broken and the seller ignored my messages,0
"Terrible experience, I want a refund",0
Battery life is outstanding and it charges fast,1
"Stopped working after two days, complete waste",0
Packaging was neat and delivery was on time,1
The screen is dim and the buttons stick,0
"Good value, would buy again",1
"Not as described, the colour is wrong",0
Setup was simple and the manual is clear,1
Overpriced for what it does,0
Sound quality is rich and the fit is comfortable,1
It broke within a week of light use,0
"Fast shipping, well packed, exactly as pictured",1
Customer service never replied to three emails,0
Works well but the cable is too short,1
"Cheap plastic, feels like it will snap",0
Better than the branded one I replaced,1
Does not hold a charge at all,0
